d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__JAFAQB01;s__	2272674.789473684	2152359.5	38
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_H;g__Priestia;s__Priestia megaterium	3447065.2	3226220.0	15
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Usitatibacteraceae	3275611.0	3294700.5	82
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Usitatibacteraceae;g__Usitatibacter	3327262.6533333333	3308284.0	75
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Usitatibacteraceae;g__Usitatibacter;s__	3331523.7916666665	3303066.5	72
d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales	2317769.6953125	2321589.0	384
d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4	2317769.6953125	2321589.0	384
d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CF-46	2328863.9591836734	2286135.0	49
d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CF-46;s__	2335076.4210526315	2251979.0	38
d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1	4478073.293064877	4272475.0	447
d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter	4885246.52238806	4613751.0	134
d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__	4918457.216	4615296.0	125
d__Bacteria;p__Myxococcota	5250177.709451575	4689482.0	857
d__Bacteria;p__Myxococcota;c__Myxococcia	4220469.448036952	3912672.0	433
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales	4225229.62004662	3918665.0	429
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae	4153659.627118644	4095926.0	118
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__	4006898.625	3950221.5	24
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__;s__	4006898.625	3950221.5	24
d__Bacteria;p__Desulfobacterota_F	2390790.3803418805	2158130.0	234
d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia	2835585.9036144577	2942945.0	83
d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Geobacterales	2916139.5322580645	2942945.0	62
d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae	2803408.9	2729774.0	30
d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__JAMPXD01	2530014.272727273	2582051.0	11
d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__JAMPXD01;s__	2530014.272727273	2582051.0	11
