"oxygen tolerance","pH optimum","salinity optimum","temperature optimum","doubling time","genome size","GC content","gene density","proportion free living","biosynthetic clusters","proportion_RS_genomes","Uncultivated"
0,8.15679763296816,5.72269426127352,55.7899117791981,7.930878,1491317.47884447,0.3,1.15149552560341,0,0,0,"Uncultivated"
0,8.10734246724071,6.63920261483823,54.6392229565815,7.464756,1178588.43537415,0.32,1.2373558823105,0,0,0,"Uncultivated"
0,7.76686851827715,6.31277116595859,54.083206540496,6.207893,1136696.25871909,0.29,1.26494362842176,0,0,0,"Uncultivated"
0,7.86142946860696,4.19920057492175,53.9627877690722,6.15762633333333,1333526.58884566,0.36,1.18564151166923,0,0,0,"Uncultivated"
0,7.07643115092151,0.428088253427985,51.3307678892646,9.320113,890367.681137031,0.44,1.34470403497966,0,0,0,"Uncultivated"
0,7.23158338040905,3.94518045463669,43.387163976839,7.58159658333333,669959.019503681,0.35,1.32284741773038,0,0,0,"Uncultivated"
0,6.24389981061714,1.82786117370025,37.6563455428682,40.01674,1433358.34609495,0.36,1.43378672475889,0,0,0,"Uncultivated"
0,6.70016462730327,4.10464328561417,47.2817254758022,7.954356,1140342.34940546,0.56,1.23638713699032,0,0,0,"Uncultivated"
0,6.08616365503249,3.08834396701237,49.3450590181198,16.0647,1509394.30894309,0.445,1.28590470888988,0,0,0,"Uncultivated"
0,7.28927597193545,4.8186840471372,51.4100118059402,75.027015,1919265.41041201,0.45,1.20371906633971,0,0,0,"Uncultivated"
0,7.06519346971756,5.76776861769271,48.6099227384385,9.000811,2452599.44612286,0.33,0.906446880151715,0,0,0,"Uncultivated"
0,7.32829898274222,3.58608768763898,53.5713113684513,5.679262,1735963.70039279,0.32,1.07828741118953,1,0,0,"Uncultivated"
0,7.99728568439298,5.58695754441451,57.6890591251977,7.3922145,1335846.42985289,0.43,1.23560569605319,0,0,0,"Uncultivated"
0,7.40403457379523,2.99890240916486,47.9488111668656,9.31790814285714,1410523.27921642,0.4,1.17287491331855,0,1,0,"Uncultivated"
0,7.1043820265775,2.73068117296037,45.8471321176599,7.606492,1579156.54334622,0.565,1.15993921114099,0,0,0,"Uncultivated"
0,7.71563144636826,3.88661620582524,52.9273444541834,8.672432,1329437.71154056,0.39,1.17382537581752,1,0,0,"Uncultivated"
0,8.76870951200413,2.84605174329971,55.1911710743347,9.324982,1470868.87835703,0.48,1.22163552306835,0,0,0,"Uncultivated"
0,8.01008005877028,3.06397292734473,47.7110958814553,10.71367,1766468.41794569,0.41,1.08023750186932,0,0,0,"Uncultivated"
0,7.56736670843695,2.95263895346595,52.0444440350353,17.44026,1600197.01086957,0.44,1.11823866796293,0,0,0,"Uncultivated"
0,8.03823230010259,4.4317437571367,52.6534428707264,13.04219,1932669.06968761,0.41,1.44230811928883,0,0,0,"Uncultivated"
0,7.2528533127024,4.73428794923514,54.6375895725666,12.23214625,1331813.21446545,0.4,1.19620358919176,0,0,0,"Uncultivated"
0,8.5781669118824,3.40203662690756,48.6369452472433,17.21593,1475239.16561769,0.39,1.10122701041588,0,0,0,"Uncultivated"
0,8.22250996693388,3.67730322851345,53.188102656842,15.779845,1176117.51904244,0.405,1.18328834361038,0,0,0,"Uncultivated"
0,8.66097882143285,2.92838377782411,47.7191946095915,10.0707778,1354187.99945821,0.39,1.13669266429097,0,0,0,"Uncultivated"
0,7.73142679082202,1.2307605477164,49.7407133805469,15.63511,1233411.57024793,0.41,1.28917441913446,0,0,0,"Uncultivated"
0,6.66114263627751,2.79121277722871,42.4545550563106,8.0904845,1776143.70987724,0.45,0.971134873893609,0,0,0,"Uncultivated"
0,7.25130024547616,3.19355861066455,53.7998046365889,6.944689,1586840.90636614,0.55,1.17030728688168,0,0,0,"Uncultivated"
